Date,Open,High,Low,Close,Volume,Adj Close
2014-12-12,523.51,528.50,518.66,518.66,1971900,518.66
2014-12-11,527.80,533.92,527.10,528.34,1602300,528.34
2014-12-10,533.08,536.33,525.56,526.06,1707600,526.06
2014-12-09,522.14,534.19,520.50,533.37,1866200,533.37
2014-12-08,527.13,531.00,523.79,526.98,2323000,526.98
2014-12-05,531.00,532.89,524.28,525.26,2552700,525.26
2014-12-04,531.16,537.34,528.59,537.31,1388300,537.31
2014-12-03,531.44,536.00,529.26,531.32,1274500,531.32
2014-12-02,533.51,535.50,529.80,533.75,1521600,533.75
2014-12-01,538.90,541.41,531.86,533.80,2100000,533.80
2014-11-28,540.62,542.00,536.60,541.83,1145200,541.83
2014-11-26,540.88,541.55,537.04,540.37,1518800,540.37
2014-11-25,539.00,543.98,538.60,541.08,1784200,541.08
2014-11-24,537.65,542.70,535.62,539.27,1701300,539.27
2014-11-21,541.61,542.14,536.56,537.50,2217600,537.50
2014-11-20,531.25,535.11,531.08,534.83,1557700,534.83
2014-11-19,535.00,538.24,530.08,536.99,1387800,536.99
2014-11-18,537.50,541.94,534.17,535.03,1957300,535.03
2014-11-17,543.58,543.79,534.06,536.51,1721100,536.51
2014-11-14,546.68,546.68,542.15,544.40,1285700,544.40
2014-11-13,549.80,549.80,543.48,545.38,1335700,545.38
2014-11-12,550.39,550.46,545.17,547.31,1126300,547.31
2014-11-11,548.49,551.94,546.30,550.29,962900,550.29
2014-11-10,541.46,549.59,541.02,547.49,1131500,547.49
2014-11-07,546.21,546.21,538.67,541.01,1629300,541.01
2014-11-06,545.50,546.89,540.97,542.04,1329600,542.04
2014-11-05,556.80,556.80,544.05,545.92,2026700,545.92
2014-11-04,553.00,555.50,549.30,554.11,1240800,554.11
2014-11-03,555.50,557.90,553.23,555.22,1378500,555.22
2014-10-31,559.35,559.57,554.75,559.08,2029500,559.08
2014-10-30,548.95,552.80,543.51,550.31,1451500,550.31
2014-10-29,550.00,554.19,546.98,549.33,1765700,549.33
2014-10-28,543.00,548.98,541.62,548.90,1267500,548.90
2014-10-27,537.03,544.41,537.03,540.77,1182100,540.77
2014-10-24,544.36,544.88,535.79,539.78,1967700,539.78
2014-10-23,539.32,547.22,535.85,543.98,2342400,543.98
2014-10-22,529.89,539.80,528.80,532.71,2911300,532.71
2014-10-21,525.19,526.79,519.11,526.54,2329900,526.54
2014-10-20,509.45,521.76,508.10,520.84,2600400,520.84
2014-10-17,527.25,530.98,508.53,511.17,5524200,511.17
2014-10-16,519.00,529.43,515.00,524.51,3698400,524.51
2014-10-15,531.01,532.80,518.30,530.03,3709200,530.03
2014-10-14,538.90,547.19,533.17,537.94,2216500,537.94
2014-10-13,544.99,549.50,533.10,533.21,2574600,533.21
2014-10-10,557.72,565.13,544.05,544.49,3073500,544.49
2014-10-09,571.18,571.49,559.06,560.88,2517900,560.88
2014-10-08,565.57,573.88,557.49,572.50,1985400,572.50
2014-10-07,574.40,575.27,563.74,563.74,1906100,563.74
2014-10-06,578.80,581.00,574.44,577.35,1211300,577.35
2014-10-03,573.05,577.22,572.50,575.28,1138600,575.28
2014-10-02,567.31,571.91,563.32,570.08,1175200,570.08
2014-10-01,576.01,577.58,567.01,568.27,1441500,568.27
2014-09-30,576.93,579.85,572.85,577.36,1617300,577.36
2014-09-29,571.75,578.19,571.17,576.36,1278900,576.36
2014-09-26,576.06,579.25,574.66,577.10,1439700,577.10
2014-09-25,587.55,587.98,574.18,575.06,1920700,575.06
2014-09-24,581.46,589.63,580.52,587.99,1723400,587.99
2014-09-23,586.85,586.85,581.00,581.13,1467400,581.13
2014-09-22,593.82,593.95,583.46,587.37,1684900,587.37
2014-09-19,591.50,596.48,589.50,596.08,3726400,596.08
2014-09-18,587.00,589.54,585.00,589.27,1440600,589.27
2014-09-17,580.01,587.52,578.78,584.77,1688200,584.77
2014-09-16,572.76,581.50,572.66,579.95,1476300,579.95
2014-09-15,572.94,574.95,568.21,573.10,1593200,573.10
2014-09-12,581.00,581.64,574.46,575.62,1597300,575.62
2014-09-11,580.36,581.81,576.26,581.35,1217700,581.35
2014-09-10,581.50,583.50,576.94,583.10,974700,583.10
2014-09-09,588.90,589.00,580.00,581.01,1283700,581.01
2014-09-08,586.60,591.77,586.30,589.72,1427100,589.72
2014-09-05,583.98,586.55,581.95,586.08,1627900,586.08
2014-09-04,580.00,586.00,579.22,581.98,1454200,581.98
2014-09-03,580.00,582.99,575.00,577.94,1211800,577.94
2014-09-02,571.85,577.83,571.19,577.33,1574100,577.33
2014-08-29,571.33,572.04,567.07,571.60,1080800,571.60
2014-08-28,569.56,573.25,567.10,569.20,1289400,569.20
2014-08-27,577.27,578.49,570.10,571.00,1698700,571.00
2014-08-26,581.26,581.80,576.58,577.86,1635200,577.86
2014-08-25,584.72,585.00,579.00,580.20,1357700,580.20
2014-08-22,583.59,585.24,580.64,582.56,786900,582.56
2014-08-21,583.82,584.50,581.14,583.37,912300,583.37
2014-08-20,585.88,586.70,582.57,584.49,1033900,584.49
2014-08-19,585.00,587.34,584.00,586.86,976000,586.86
2014-08-18,576.11,584.51,576.00,582.16,1280600,582.16
2014-08-15,577.86,579.38,570.52,573.48,1515000,573.48
2014-08-14,576.18,577.90,570.88,574.65,982800,574.65
2014-08-13,567.31,575.00,565.75,574.78,1437900,574.78
2014-08-12,564.52,565.90,560.88,562.73,1537800,562.73
2014-08-11,569.99,570.49,566.00,567.88,1211400,567.88
2014-08-08,563.56,570.25,560.35,568.77,1490700,568.77
2014-08-07,568.00,569.89,561.10,563.36,1107900,563.36
2014-08-06,561.78,570.70,560.00,566.37,1330700,566.37
2014-08-05,570.05,571.98,562.61,565.07,1547000,565.07
2014-08-04,569.04,575.35,564.10,573.15,1423400,573.15
2014-08-01,570.40,575.96,562.85,566.07,1949900,566.07
2014-07-31,580.60,583.65,570.00,571.60,2097000,571.60
2014-07-30,586.55,589.50,584.00,587.42,1013700,587.42
2014-07-29,588.75,589.70,583.52,585.61,1346200,585.61
2014-07-28,588.07,592.50,584.75,590.60,984100,590.60
2014-07-25,590.40,591.86,587.03,589.02,929900,589.02
2014-07-24,596.45,599.50,591.77,593.35,1032300,593.35
2014-07-23,593.23,597.85,592.50,595.98,1229800,595.98
2014-07-22,590.72,599.65,590.60,594.74,1694500,594.74
2014-07-21,591.75,594.40,585.23,589.47,2056500,589.47
2014-07-18,593.00,596.80,582.00,595.08,4003200,595.08
2014-07-17,579.53,580.99,568.61,573.73,3008300,573.73
2014-07-16,588.00,588.40,582.20,582.66,1393300,582.66
2014-07-15,585.74,585.80,576.56,584.78,1618600,584.78
2014-07-14,582.60,585.21,578.03,584.87,1849000,584.87
2014-07-11,571.91,580.85,571.42,579.18,1617300,579.18
2014-07-10,565.91,576.59,565.01,571.10,1353000,571.10
2014-07-09,571.58,576.72,569.38,576.08,1113700,576.08
2014-07-08,577.66,579.53,566.14,571.09,1904300,571.09
2014-07-07,583.76,586.43,579.59,582.25,1061700,582.25
2014-07-03,583.35,585.01,580.92,584.73,712200,584.73
2014-07-02,583.35,585.44,580.39,582.34,1053500,582.34
2014-07-01,578.32,584.40,576.65,582.67,1444000,582.67
2014-06-30,578.66,579.57,574.75,575.28,1310200,575.28
2014-06-27,577.18,579.87,573.80,577.24,2230800,577.24
2014-06-26,581.00,582.45,571.85,576.00,1737200,576.00
2014-06-25,565.26,579.96,565.22,578.65,1964000,578.65
2014-06-24,565.19,572.65,561.01,564.62,2201100,564.62
2014-06-23,555.15,565.00,554.25,564.95,1532600,564.95
2014-06-20,556.85,557.58,550.39,556.36,4496000,556.36
2014-06-19,554.24,555.00,548.51,554.90,2450100,554.90
2014-06-18,544.86,553.56,544.00,553.37,1737000,553.37
2014-06-17,544.20,545.32,539.33,543.01,1440600,543.01
2014-06-16,549.26,549.62,541.52,544.28,1697900,544.28
2014-06-13,552.26,552.30,545.56,551.76,1217200,551.76
2014-06-12,557.30,557.99,548.46,551.35,1454500,551.35
2014-06-11,558.00,559.88,555.02,558.84,1097100,558.84
2014-06-10,560.51,563.60,557.90,560.55,1348000,560.55
2014-06-09,557.15,562.90,556.04,562.12,1463500,562.12
2014-06-06,558.06,558.06,548.93,556.33,1732000,556.33
2014-06-05,546.40,554.95,544.45,553.90,1684500,553.90
2014-06-04,541.50,548.61,538.75,544.66,1811500,544.66
2014-06-03,550.99,552.34,542.55,544.94,1861500,544.94
2014-06-02,560.70,560.90,545.73,553.93,1431100,553.93
2014-05-30,560.80,561.35,555.91,559.89,1766300,559.89
2014-05-29,563.35,564.00,558.71,560.08,1350400,560.08
2014-05-28,564.57,567.84,561.00,561.68,1647500,561.68
2014-05-27,556.00,566.00,554.35,565.95,2098400,565.95
2014-05-23,547.26,553.64,543.70,552.70,1926900,552.70
2014-05-22,541.13,547.60,540.78,545.06,1611400,545.06
2014-05-21,532.90,539.18,531.91,538.94,1193000,538.94
2014-05-20,529.74,536.23,526.30,529.77,1779900,529.77
2014-05-19,519.70,529.78,517.58,528.86,1274300,528.86
2014-05-16,521.39,521.80,515.44,520.63,1481200,520.63
2014-05-15,525.70,525.87,517.42,519.98,1699700,519.98
2014-05-14,533.00,533.00,525.29,526.65,1188500,526.65
2014-05-13,530.89,536.07,529.51,533.09,1648900,533.09
2014-05-12,523.51,530.19,519.01,529.92,1907300,529.92
2014-05-09,510.75,519.90,504.20,518.73,2432800,518.73
2014-05-08,508.46,517.23,506.45,511.00,2015800,511.00
2014-05-07,515.79,516.68,503.30,509.96,3215500,509.96
2014-05-06,525.23,526.81,515.06,515.14,1684400,515.14
2014-05-05,524.82,528.90,521.32,527.81,1021300,527.81
2014-05-02,533.76,534.00,525.61,527.93,1683900,527.93
2014-05-01,527.11,532.93,523.88,531.35,1900300,531.35
2014-04-30,527.60,528.00,522.52,526.66,1746400,526.66
2014-04-29,516.90,529.46,516.32,527.70,2691700,527.70
2014-04-28,517.18,518.60,502.80,517.15,3326400,517.15
2014-04-25,522.51,524.70,515.42,516.18,2094600,516.18
2014-04-24,530.07,531.65,522.12,525.16,1878000,525.16
2014-04-23,533.79,533.87,526.25,526.94,2046700,526.94
2014-04-22,528.64,537.23,527.51,534.81,2358900,534.81
2014-04-21,536.10,536.70,525.60,528.62,2559700,528.62
2014-04-17,548.81,549.50,531.15,536.10,6790900,536.10
2014-04-16,543.00,557.00,540.00,556.54,4879900,556.54
2014-04-15,536.82,538.45,518.46,536.44,3844500,536.44
2014-04-14,538.25,544.10,529.56,532.52,2568000,532.52
2014-04-11,532.55,540.00,526.53,530.60,3914100,530.60
2014-04-10,565.00,565.00,539.90,540.95,4025800,540.95
2014-04-09,559.62,565.37,552.95,564.14,3321700,564.14
2014-04-08,542.60,555.00,541.61,554.90,3142600,554.90
2014-04-07,540.74,548.48,527.15,538.15,4389600,538.15
2014-04-04,574.65,577.77,543.00,543.14,6351900,543.14
2014-04-03,569.85,587.28,564.13,569.74,5085200,569.74
2014-04-02,599.99,604.83,562.19,567.00,146700,567.00
2014-04-01,558.71,568.45,558.71,567.16,7900,567.16
2014-03-31,566.89,567.00,556.93,556.97,10800,556.97
2014-03-28,561.20,566.43,558.67,559.99,41100,559.99
2014-03-27,568.00,568.00,552.92,558.46,13100,558.46
